,Compound_Name,EPA-ACC_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
95,Other,CanalDensCat,-0.30805547739386224,-0.30805547739386224,0.023439858211104454,0.023439858211104454
96,Protein,CanalDensCat,-0.19288910627953812,-0.19288910627953812,0.162282546406257,0.162282546406257
97,Tannin,CanalDensCat,-0.030989057480286374,-0.030989057480286374,0.8239658729454293,0.8239658729454293
98,UnsatHC,CanalDensCat,-0.1357479774955208,-0.1357479774955208,0.32770910980172174,0.32770910980172174
99,SumAllCompounds,CanalDensCat,-0.18202551050729582,-0.18202551050729582,0.18772242823865173,0.18772242823865173
100,AminoSugar,CoalMineDensCat,-0.0852175025404781,-0.0852175025404781,0.5400869367928216,0.5400869367928216
101,Carb,CoalMineDensCat,-0.09575776821235123,-0.09575776821235123,0.49095339060395543,0.49095339060395543
102,ConcHC,CoalMineDensCat,-0.04964189017744841,-0.04964189017744841,0.7214840436970938,0.7214840436970938
103,Lignin,CoalMineDensCat,-0.16401004158562668,-0.16401004158562668,0.23599096240527723,0.23599096240527723
104,Lipid,CoalMineDensCat,-0.09388300660474715,-0.09388300660474715,0.4995186228647541,0.4995186228647541
105,Other,CoalMineDensCat,-0.15682454271572385,-0.15682454271572385,0.2574329775845236,0.2574329775845236
106,Protein,CoalMineDensCat,-0.07689102297231468,-0.07689102297231468,0.5805171711057273,0.5805171711057273
107,Tannin,CoalMineDensCat,-0.10768744915249494,-0.10768744915249494,0.4382927431534209,0.4382927431534209
108,UnsatHC,CoalMineDensCat,-0.13353938748852479,-0.13353938748852479,0.33571353588657493,0.33571353588657493
109,SumAllCompounds,CoalMineDensCat,-0.13675345448744727,-0.13675345448744727,0.3241052099330165,0.3241052099330165
110,AminoSugar,DamDensCat,0.2250114339852744,0.2250114339852744,0.10187035612416317,0.10187035612416317
111,Carb,DamDensCat,0.15345137190510114,0.15345137190510114,0.26793772276876476,0.26793772276876476
112,ConcHC,DamDensCat,-0.05929233982581763,-0.05929233982581763,0.6701895235798951,0.6701895235798951
113,Lignin,DamDensCat,0.1988437662545903,0.1988437662545903,0.14945885509938373,0.14945885509938373
114,Lipid,DamDensCat,0.28047297955149547,0.28047297955149547,0.039951110994888905,0.039951110994888905
115,Other,DamDensCat,0.16557360156140713,0.16557360156140713,0.2314926926139746,0.2314926926139746
116,Protein,DamDensCat,0.2209122432225054,0.2209122432225054,0.10843116746451165,0.10843116746451165
117,Tannin,DamDensCat,0.012952380127706734,0.012952380127706734,0.9259377947046352,0.9259377947046352
118,UnsatHC,DamDensCat,-0.009502286894890855,-0.009502286894890855,0.9456304982770799,0.9456304982770799
119,SumAllCompounds,DamDensCat,0.15766705623723265,0.15766705623723265,0.25485312789611264,0.25485312789611264
120,AminoSugar,DamNIDStorM3Cat,0.16302578908871107,0.16302578908871107,0.2388531868487693,0.2388531868487693
121,Carb,DamNIDStorM3Cat,0.05916178344834543,0.05916178344834543,0.6708742216257352,0.6708742216257352
122,ConcHC,DamNIDStorM3Cat,0.012800858105161163,0.012800858105161163,0.9268018255891382,0.9268018255891382
123,Lignin,DamNIDStorM3Cat,0.1888276114215764,0.1888276114215764,0.17148002884008695,0.17148002884008695
124,Lipid,DamNIDStorM3Cat,0.1653405741700879,0.1653405741700879,0.23215932269820239,0.23215932269820239
125,Other,DamNIDStorM3Cat,0.08371536126753439,0.08371536126753439,0.547278494815309,0.547278494815309
126,Protein,DamNIDStorM3Cat,0.1462215247868089,0.1462215247868089,0.29140441063665934,0.29140441063665934
127,Tannin,DamNIDStorM3Cat,0.08413602242170354,0.08413602242170354,0.5452599353407082,0.5452599353407082
128,UnsatHC,DamNIDStorM3Cat,0.11227112536923162,0.11227112536923162,0.4189314385394849,0.4189314385394849
129,SumAllCompounds,DamNIDStorM3Cat,0.15523565351499424,0.15523565351499424,0.2623460197414757,0.2623460197414757
130,AminoSugar,DamNrmStorM3Cat,0.15867015767889128,0.15867015767889128,0.25180437918907295,0.25180437918907295
131,Carb,DamNrmStorM3Cat,0.054329879540430684,0.054329879540430684,0.6963974850754711,0.6963974850754711
132,ConcHC,DamNrmStorM3Cat,0.01759464429994395,0.01759464429994395,0.8995117983175975,0.8995117983175975
