,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
577,Tannin,PctAlkIntruVolWs,-0.0544272740926379,-0.0544272740926379,0.6958795975358069,0.6958795975358069
578,UnsatHC,PctAlkIntruVolWs,0.008584654862927327,0.008584654862927327,0.9508741485087241,0.9508741485087241
579,SumAllCompounds,PctAlkIntruVolWs,-0.07746688267823382,-0.07746688267823382,0.5776772639752411,0.5776772639752411
580,AminoSugar,PctAlluvCoastWs,-0.039378905775864136,-0.039378905775864136,0.7773966216646093,0.7773966216646093
581,Carb,PctAlluvCoastWs,-0.059282764247385294,-0.059282764247385294,0.6702397333134914,0.6702397333134914
582,ConcHC,PctAlluvCoastWs,0.12509647254608,0.12509647254608,0.36742599251085717,0.36742599251085717
583,Lignin,PctAlluvCoastWs,-0.019048385493589864,-0.019048385493589864,0.891257238210858,0.891257238210858
584,Lipid,PctAlluvCoastWs,-0.12434807306345469,-0.12434807306345469,0.3703217793034209,0.3703217793034209
585,Other,PctAlluvCoastWs,-0.13990427419158682,-0.13990427419158682,0.31297484986560914,0.31297484986560914
586,Protein,PctAlluvCoastWs,-0.0778379958864756,-0.0778379958864756,0.575850454623277,0.575850454623277
587,Tannin,PctAlluvCoastWs,0.08352925565092362,0.08352925565092362,0.5481726738865493,0.5481726738865493
588,UnsatHC,PctAlluvCoastWs,0.0009116992194154027,0.0009116992194154027,0.9947796156087692,0.9947796156087692
589,SumAllCompounds,PctAlluvCoastWs,0.005779707857273757,0.005779707857273757,0.9669144079792155,0.9669144079792155
590,AminoSugar,PctCarbResidWs,0.2574725701804999,0.2574725701804999,0.06016491401617252,0.06016491401617252
591,Carb,PctCarbResidWs,0.2555509492384382,0.2555509492384382,0.06217191079513678,0.06217191079513678
592,ConcHC,PctCarbResidWs,-0.17137088075112952,-0.17137088075112952,0.21533164567221685,0.21533164567221685
593,Lignin,PctCarbResidWs,0.08336673180596581,0.08336673180596581,0.5489541226937579,0.5489541226937579
594,Lipid,PctCarbResidWs,0.29449445996066737,0.29449445996066737,0.030646349379077,0.030646349379077
595,Other,PctCarbResidWs,0.2359798611759695,0.2359798611759695,0.08582047271429877,0.08582047271429877
596,Protein,PctCarbResidWs,0.30700418144357483,0.30700418144357483,0.023942085401197875,0.023942085401197875
597,Tannin,PctCarbResidWs,-0.29512503930214457,-0.29512503930214457,0.03027447046205415,0.03027447046205415
598,UnsatHC,PctCarbResidWs,0.03429140291889987,0.03429140291889987,0.8055541850950605,0.8055541850950605
599,SumAllCompounds,PctCarbResidWs,0.04510465931476764,0.04510465931476764,0.7460443830513627,0.7460443830513627
600,AminoSugar,PctCoastCrsWs,-0.04082767806601682,-0.04082767806601682,0.7694281209929867,0.7694281209929867
601,Carb,PctCoastCrsWs,0.0018067503436292633,0.0018067503436292633,0.9896547678753165,0.9896547678753165
602,ConcHC,PctCoastCrsWs,0.14521959621654365,0.14521959621654365,0.29475913797223613,0.29475913797223613
603,Lignin,PctCoastCrsWs,0.026041525232114913,0.026041525232114913,0.8517239446180557,0.8517239446180557
604,Lipid,PctCoastCrsWs,-0.10187935101587703,-0.10187935101587703,0.46352784765823685,0.46352784765823685
605,Other,PctCoastCrsWs,-0.06376382506023937,-0.06376382506023937,0.6469027084897538,0.6469027084897538
606,Protein,PctCoastCrsWs,-0.09812946410021743,-0.09812946410021743,0.48022858539674895,0.48022858539674895
607,Tannin,PctCoastCrsWs,0.12472376500509609,0.12472376500509609,0.36886639609265603,0.36886639609265603
608,UnsatHC,PctCoastCrsWs,0.010683150999081984,0.010683150999081984,0.9388860480546167,0.9388860480546167
609,SumAllCompounds,PctCoastCrsWs,0.03886450164976329,0.03886450164976329,0.7802314588661373,0.7802314588661373
610,AminoSugar,PctColluvSedWs,0.03448692965123912,0.03448692965123912,0.8044672281485032,0.8044672281485032
611,Carb,PctColluvSedWs,0.0356724762604695,0.0356724762604695,0.7978845563573628,0.7978845563573628
612,ConcHC,PctColluvSedWs,-0.02573583982811132,-0.02573583982811132,0.8534452155124118,0.8534452155124118
613,Lignin,PctColluvSedWs,0.06328452434373205,0.06328452434373205,0.6493833284907389,0.6493833284907389
614,Lipid,PctColluvSedWs,0.11326206365591038,0.11326206365591038,0.414810944485146,0.414810944485146
615,Other,PctColluvSedWs,-0.05540339408016712,-0.05540339408016712,0.6906967978540195,0.6906967978540195
616,Protein,PctColluvSedWs,0.13922291889672644,0.13922291889672644,0.31536079861471267,0.31536079861471267
