,Compound_Name,HYDROSHEDS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
1529,SumAllCompounds,glc_pc_u03,,,,
1530,AminoSugar,glc_pc_u04,-0.32760020938667583,-0.32760020938667583,0.01559859643709172,0.01559859643709172
1531,Carb,glc_pc_u04,-0.3474204466122357,-0.3474204466122357,0.010053124942516048,0.010053124942516048
1532,ConcHC,glc_pc_u04,-0.06391227764601091,-0.06391227764601091,0.6461351627244833,0.6461351627244833
1533,Lignin,glc_pc_u04,-0.280624191617648,-0.280624191617648,0.039839584330596096,0.039839584330596096
1534,Lipid,glc_pc_u04,-0.2390631015196358,-0.2390631015196358,0.08168631243930762,0.08168631243930762
1535,Other,glc_pc_u04,0.051445597305773964,0.051445597305773964,0.7117958040322518,0.7117958040322518
1536,Protein,glc_pc_u04,-0.36597535893745275,-0.36597535893745275,0.006497616952656457,0.006497616952656457
1537,Tannin,glc_pc_u04,0.07664227599870468,0.07664227599870468,0.581745850786864,0.581745850786864
1538,UnsatHC,glc_pc_u04,0.2757085249936152,0.2757085249936152,0.043599001784768734,0.043599001784768734
1539,SumAllCompounds,glc_pc_u04,-0.23518843013090016,-0.23518843013090016,0.08690769515230698,0.08690769515230698
1540,AminoSugar,glc_pc_u05,,,,
1541,Carb,glc_pc_u05,,,,
1542,ConcHC,glc_pc_u05,,,,
1543,Lignin,glc_pc_u05,,,,
1544,Lipid,glc_pc_u05,,,,
1545,Other,glc_pc_u05,,,,
1546,Protein,glc_pc_u05,,,,
1547,Tannin,glc_pc_u05,,,,
1548,UnsatHC,glc_pc_u05,,,,
1549,SumAllCompounds,glc_pc_u05,,,,
1550,AminoSugar,glc_pc_u06,0.1580424681861201,0.1580424681861201,0.2537092251239369,0.2537092251239369
1551,Carb,glc_pc_u06,0.16562771851497476,0.16562771851497476,0.23133806727545442,0.23133806727545442
1552,ConcHC,glc_pc_u06,0.07410297074379975,0.07410297074379975,0.5943556352525233,0.5943556352525233
1553,Lignin,glc_pc_u06,0.004206933373440743,0.004206933373440743,0.9759145096232198,0.9759145096232198
1554,Lipid,glc_pc_u06,0.12127827452603661,0.12127827452603661,0.38234308094225156,0.38234308094225156
1555,Other,glc_pc_u06,-0.03879516970776854,-0.03879516970776854,0.7806137591854752,0.7806137591854752
1556,Protein,glc_pc_u06,0.2116126856860824,0.2116126856860824,0.12451450442588607,0.12451450442588607
1557,Tannin,glc_pc_u06,-0.11476806318727528,-0.11476806318727528,0.4085934842678424,0.4085934842678424
1558,UnsatHC,glc_pc_u06,-0.2203109231269623,-0.2203109231269623,0.10942028061619355,0.10942028061619355
1559,SumAllCompounds,glc_pc_u06,0.05039520917426892,0.05039520917426892,0.7174323669497662,0.7174323669497662
1560,AminoSugar,glc_pc_u07,,,,
1561,Carb,glc_pc_u07,,,,
1562,ConcHC,glc_pc_u07,,,,
1563,Lignin,glc_pc_u07,,,,
1564,Lipid,glc_pc_u07,,,,
1565,Other,glc_pc_u07,,,,
1566,Protein,glc_pc_u07,,,,
1567,Tannin,glc_pc_u07,,,,
1568,UnsatHC,glc_pc_u07,,,,
1569,SumAllCompounds,glc_pc_u07,,,,
1570,AminoSugar,glc_pc_u08,,,,
1571,Carb,glc_pc_u08,,,,
1572,ConcHC,glc_pc_u08,,,,
1573,Lignin,glc_pc_u08,,,,
1574,Lipid,glc_pc_u08,,,,
1575,Other,glc_pc_u08,,,,
1576,Protein,glc_pc_u08,,,,
1577,Tannin,glc_pc_u08,,,,
1578,UnsatHC,glc_pc_u08,,,,
1579,SumAllCompounds,glc_pc_u08,,,,
1580,AminoSugar,glc_pc_u09,-0.07589643975600531,-0.07589643975600531,0.5854369454233728,0.5854369454233728
1581,Carb,glc_pc_u09,-0.09028538434042951,-0.09028538434042951,0.5161682672954491,0.5161682672954491
1582,ConcHC,glc_pc_u09,0.09204140667824964,0.09204140667824964,0.508006724952462,0.508006724952462
1583,Lignin,glc_pc_u09,-0.030904164328456368,-0.030904164328456368,0.824440468384775,0.824440468384775
1584,Lipid,glc_pc_u09,-0.0027484785040167653,-0.0027484785040167653,0.9842631098352801,0.9842631098352801
1585,Other,glc_pc_u09,0.17469571278173512,0.17469571278173512,0.20642759409614106,0.20642759409614106
1586,Protein,glc_pc_u09,-0.004913468667720771,-0.004913468667720771,0.971870971593147,0.971870971593147
1587,Tannin,glc_pc_u09,0.02483562382083758,0.02483562382083758,0.8585181103002367,0.8585181103002367
1588,UnsatHC,glc_pc_u09,0.34471411503185956,0.34471411503185956,0.010691788941732321,0.010691788941732321
